Length,Height
56.35259,2.82077
56.44407,2.82151
56.53556,2.82158
56.62704,2.82096
56.71852,2.81969
56.81000,2.81857
56.90148,2.81784
56.99296,2.81752
57.08444,2.81824
57.17593,2.81996
57.26741,2.82252
57.35889,2.82516
57.45037,2.82765
57.54185,2.82989
57.63333,2.83182
57.72481,2.83288
57.81630,2.83327
57.90778,2.83318
57.99926,2.83352
58.09074,2.83429
58.18222,2.83528
58.27370,2.83643
58.36519,2.83715
58.45667,2.83749
58.54815,2.83772
58.63963,2.83802
58.73111,2.83843
58.82259,2.83927
58.91407,2.84067
59.00556,2.84337
59.09704,2.84776
59.18852,2.85311
59.28000,2.85850
59.37148,2.86387
59.46296,2.86989
59.55444,2.87653
59.64593,2.88345
59.73741,2.88828
59.82889,2.89147
59.92037,2.89358
60.01185,2.89577
60.10333,2.89753
60.19481,2.89884
60.28630,2.89945
60.37778,2.90109
60.46926,2.90380
60.56074,2.90776
60.65222,2.91184
60.74370,2.91585
60.83519,2.91976
60.92667,2.92381
61.01815,2.92798
61.10963,2.93216
61.20111,2.93615
61.29259,2.93996
61.38407,2.94380
61.47556,2.94791
61.56704,2.95229
61.65852,2.95678
61.75000,2.96119
61.84148,2.96554
61.93296,2.96971
62.02444,2.97342
62.11593,2.97649
62.20741,2.97907
62.29889,2.98192
62.39037,2.98532
62.48185,2.98926
62.57333,2.99398
62.66481,2.99958
62.75630,3.00604
62.84778,3.01225
62.93926,3.01763
63.03074,3.02246
63.12222,3.02713
63.21370,3.03151
63.30519,3.03506
63.39667,3.03775
63.48815,3.04063
63.57963,3.04397
63.67111,3.04749
63.76259,3.05076
63.85407,3.05379
63.94556,3.05707
64.03704,3.06080
64.12852,3.06496
64.22000,3.06930
64.31148,3.07319
64.40296,3.07635
64.49444,3.07880
64.58593,3.08052
64.67741,3.08134
64.76889,3.08118
64.86037,3.08003
64.95185,3.07825
65.04333,3.07611
65.13481,3.07359
65.22630,3.07113
65.31778,3.06930
65.40926,3.06809
65.50074,3.06719
65.59222,3.06645
65.68370,3.06591
65.77519,3.06563
65.86667,3.06524
65.95815,3.06421
66.04963,3.06259
66.14111,3.06071
66.23259,3.05897
66.32407,3.05738
66.41556,3.05525
66.50704,3.05253
66.59852,3.04923
66.69000,3.04531
66.78148,3.04079
66.87296,3.03566
66.96444,3.02993
67.05593,3.02476
67.14741,3.02027
67.23889,3.01646
67.33037,3.01319
67.42185,3.00989
67.51333,3.00655
67.60481,3.00316
67.69630,2.99974
67.78778,2.99620
67.87926,2.99253
67.97074,2.98874
68.06222,2.98534
68.15370,2.98235
68.24519,2.98013
68.33667,2.97815
68.42815,2.97628
68.51963,2.97394
68.61111,2.97127
68.70259,2.96832
68.79407,2.96513
68.88556,2.96132
68.97704,2.95742
69.06852,2.95369
69.16000,2.95060
69.25148,2.94800
69.34296,2.94612
69.43444,2.94575
69.52593,2.94691
69.61741,2.94851
69.70889,2.95032
69.80037,2.95243
69.89185,2.95487
69.98333,2.95736
70.07481,2.95919
70.16630,2.96042
70.25778,2.96157
70.34926,2.96302
70.44074,2.96506
70.53222,2.96781
70.62370,2.97131
70.71519,2.97553
70.80667,2.98042
70.89815,2.98597
70.98963,2.99118
71.08111,2.99565
71.17259,2.99939
71.26407,3.00261
71.35556,3.00535
71.44704,3.00762
71.53852,3.00909
71.63000,3.01046
71.72148,3.01195
71.81296,3.01365
71.90444,3.01526
71.99593,3.01651
72.08741,3.01736
72.17889,3.01780
72.27037,3.01785
72.36185,3.01763
72.45333,3.01710
72.54481,3.01657
72.63630,3.01620
72.72778,3.01615
72.81926,3.01676
72.91074,3.01746
73.00222,3.01793
73.09370,3.01847
73.18519,3.01901
73.27667,3.01941
73.36815,3.01941
73.45963,3.01897
73.55111,3.01809
73.64259,3.01684
73.73407,3.01413
73.82556,3.00954
73.91704,3.00427
74.00852,2.99846
74.10000,2.99239
74.19148,2.98669
74.28296,2.98127
74.37444,2.97717
74.46593,2.97562
74.55741,2.97387
74.64889,2.97047
74.74037,2.96667
74.83185,2.96289
74.92333,2.95911
75.01481,2.95455
75.10630,2.94724
75.19778,2.94022
75.28926,2.93578
75.38074,2.93099
75.47222,2.92502
75.56370,2.91756
75.65519,2.90990
75.74667,2.90294
75.83815,2.89507
75.92963,2.88516
76.02111,2.87451
76.11259,2.86325
76.20407,2.85163
76.29556,2.83919
76.38704,2.82648
76.47852,2.81363
76.57000,2.80077
76.66148,2.78799
76.75296,2.77505
76.84444,2.76210
76.93593,2.75005
77.02741,2.73871
77.11889,2.72773
77.21037,2.71704
77.30185,2.70642
77.39333,2.69615
77.48481,2.68581
77.57630,2.67387
77.66778,2.66496
77.75926,2.65600
77.85074,2.64269
77.94222,2.62809
78.03370,2.61259
78.12519,2.59798
78.21667,2.58441
78.30815,2.56698
78.39963,2.55036
78.49111,2.53936
78.58259,2.53039
78.67407,2.52151
78.76556,2.51235
78.85704,2.50324
78.94852,2.49351
79.04000,2.48184
79.13148,2.46823
79.22296,2.45423
79.31444,2.44289
79.40593,2.43230
79.49741,2.42133
79.58889,2.41167
79.68037,2.40363
79.77185,2.39670
79.86333,2.39013
79.95481,2.38266
80.04630,2.37540
80.13778,2.36964
80.22926,2.36391
80.32074,2.35789
80.41222,2.35176
80.50370,2.34551
80.59519,2.33901
80.68667,2.33206
80.77815,2.32424
80.86963,2.31600
80.96111,2.30732
81.05259,2.29820
81.14407,2.28871
81.23556,2.27904
81.32704,2.26919
81.41852,2.25997
81.51000,2.25138
81.60148,2.24353
81.69296,2.23633
81.78444,2.22977
81.87593,2.22394
81.96741,2.21884
82.05889,2.21361
82.15037,2.20810
82.24185,2.20243
82.33333,2.19704
82.42481,2.19208
82.51630,2.18736
82.60778,2.18286
82.69926,2.17873
82.79074,2.17511
82.88222,2.17212
82.97370,2.16946
83.06519,2.16698
83.15667,2.16415
83.24815,2.16067
83.33963,2.15661
83.43111,2.15215
83.52259,2.14717
83.61407,2.14154
83.70556,2.13472
83.79704,2.12723
83.88852,2.11986
83.98000,2.11284
84.07148,2.10598
84.16296,2.09917
84.25444,2.09247
84.34593,2.08642
84.43741,2.08136
84.52889,2.07682
84.62037,2.07276
84.71185,2.06936
84.80333,2.06611
84.89481,2.06266
84.98630,2.05830
85.07778,2.05189
85.16926,2.04459
85.26074,2.03727
85.35222,2.03036
85.44370,2.02513
85.53519,2.02143
85.62667,2.01973
85.71815,2.01973
85.80963,2.01843
85.90111,2.01565
85.99259,2.01194
86.08407,2.00717
86.17556,2.00163
86.26704,1.99440
86.35852,1.98828
86.45000,1.98535
86.54148,1.98334
86.63296,1.98081
86.72444,1.97611
86.81593,1.96979
86.90741,1.96230
86.99889,1.95477
87.09037,1.94776
87.18185,1.94751
87.27333,1.95428
87.36481,1.96921
87.45630,1.99198
87.54778,2.02328
87.63926,2.06032
87.73074,2.10224
87.82222,2.14416
87.91370,2.18608
88.00519,2.22800
88.09667,2.26992
88.18815,2.31184
88.27963,2.35376
88.37111,2.39567
88.46259,2.43759
88.55407,2.47951
88.64556,2.52143
88.73704,2.56335
88.82852,2.60527
88.92000,2.64719
89.01148,2.68911
89.10296,2.73103
89.19444,2.77295
89.28593,2.81486
89.37741,2.85678
89.46889,2.89870
89.56037,2.94062
89.65185,2.98254
89.74333,3.02446
89.83481,3.06638
89.92630,3.10830
90.01778,3.15022
90.10926,3.19213
90.20074,3.23405
90.29222,3.27597
90.38370,3.31789
90.47519,3.35981
90.56667,3.40173
90.65815,3.44365
90.74963,3.48557
90.84111,3.52749
90.93259,3.56941
91.02407,3.61132
91.11556,3.65324
91.20704,3.69516
91.29852,3.73708
91.39000,3.77900
